,BTC,ETH,SP500,NASDAQ,VIX,GOLD,DXY,US10Y
Ticker,BTC-USD,ETH-USD,^GSPC,^NDX,^VIX,GC=F,DX-Y.NYB,^TNX
Date,,,,,,,,
2015-01-01,,,,,,,,
2015-01-02,0.0024886192856885233,,,,,,,
2015-01-03,-0.11402781772464736,,,,,,,
2015-01-04,-0.061958949741243954,,,,,,,
2015-01-05,0.03816904066200965,,,,,,,
2015-01-06,0.0417958802770686,,-0.00893325469070017,-0.012120833896563862,0.05849624258802025,0.01271065639212335,0.0013123662030592302,-0.037985563014649976
2015-01-07,0.0280729729527459,,0.011562735844876304,0.01189010067677552,-0.08959742979111619,-0.00716087932157311,0.004253230589119972,-0.004595393747127946
2015-01-08,-0.038046038508232904,,0.01773016812715569,0.019177857481011067,-0.126821648919881,-0.0018188935745322122,0.005210077468490509,0.031236814624574543
2015-01-09,0.02460744467252288,,-0.008439322147078786,-0.00645154100358859,0.031252486576047685,0.006269592809968894,-0.004666063406662007,-0.02257436037957145
2015-01-10,-0.05525782685593136,,,,,,,
2015-01-11,-0.03381165828602173,,,,,,,
2015-01-12,0.008008149758100299,,,,,,,
2015-01-13,-0.17030572694913534,,-0.0025818854358163217,-0.0009044968139525117,0.047817828912186486,0.0012972013624871278,0.003581252946033692,-0.011572962201916307
2015-01-14,-0.2375577154953052,,-0.00583002896797565,-0.004899012080799678,0.04377483371810692,8.099451778340471e-05,-0.0016262148701430995,-0.028443008520798542
2015-01-15,0.16400235279402897,,-0.009290903004567546,-0.013646016225134014,0.04149215502115005,0.0242498594504341,0.0020594534384568565,-0.03433340348656218
2015-01-16,-0.008360051860799687,,0.013334893186267299,0.012753227563551066,-0.06647572056535206,0.009600383272961813,0.0018391109574419197,0.02228508974789081
2015-01-17,-0.043393840687305896,,,,,,,
2015-01-18,0.05411005929718177,,,,,,,
2015-01-19,0.02127073585047844,,,,,,,
2015-01-20,-0.016641349425745678,,,,,,,
2015-01-21,0.07114626123199319,,0.004720465022189361,0.004993226760270257,-0.053704128048387,-0.0003864137138910775,-0.0016133536404725687,0.025137937188422575
2015-01-22,0.02828326756390444,,0.015154313070630327,0.018498721823117577,-0.13923162256133706,0.005396251348961029,0.014321034990542054,0.022940446927141478
2015-01-23,-0.002260455630801953,,-0.005506656279301935,0.0018202668504988925,0.01572931600995626,-0.00624686858857903,0.008032194365244959,-0.04255961168513958
2015-01-24,0.06229262485473296,,,,,,,
2015-01-25,0.023411802380044453,,,,,,,
2015-01-26,0.07497944406522498,,,,,,,
2015-01-27,-0.03724435725045598,,-0.013478287815857576,-0.026116243074678958,0.10394191487454535,0.009567905338056997,-0.00826195156099266,-0.0016424322191452394
2015-01-28,-0.11900073718364432,,-0.01358750281102202,-0.006048773671761498,0.17142233233886708,-0.004500261174159382,0.004774846811117266,-0.056932854197225304
2015-01-29,-0.0017200206333921858,,0.00948951705826357,0.009846641495516917,-0.08576683568496396,-0.024642104059361822,0.003276066957471415,0.015539921026052641
2015-01-30,-0.030823974429389264,,-0.013077099006318498,-0.007904192472542202,0.11136585639104273,0.018870738528237115,0.00021103779240393226,-0.04437394318220597
2015-01-31,-0.040380437381728564,,,,,,,
2015-02-01,0.04279332203631927,,,,,,,
2015-02-02,0.04840574994570224,,,,,,,
2015-02-03,-0.04710245086441019,,0.014336238577453099,0.00963687966506201,-0.11437917977067641,-0.013013315577139663,-0.009569467318275873,0.06199493933702834
2015-02-04,-0.0018277448453036722,,-0.0041647065724529616,-0.001881510063984539,0.05609995836427453,0.003249535378765735,0.004158003722514638,0.009505287697879823
2015-02-05,-0.0438935079933491,,0.010238810710909235,0.008252591594107414,-0.08418837825184554,-0.0014253298741546375,0.007525597062564856,0.009966863314526384
2015-02-06,0.02346618327569626,,-0.00342402761187852,-0.006482156488745677,0.025777673208937757,-0.022517859410575658,0.0,0.06557099552584052
2015-02-07,0.0243911975438062,,,,,,,
2015-02-08,-0.01924847748019274,,,,,,,
2015-02-09,-0.01489018780860793,,,,,,,
2015-02-10,-0.0012319433610069224,,0.010618979554062366,0.01531591620735805,-0.07381772395262162,-0.007442254987160046,0.003276840197484233,0.021833871621442368
2015-02-11,-0.002979369869067089,,-2.9034010158247172e-05,0.00375817700864261,-0.015794447589819655,-0.010283266746028365,0.002424198578913868,-0.0015079273587698852
2015-02-12,0.01169767654801286,,0.009598295065916026,0.011726904508190148,-0.10039377049602104,0.0009019520901303559,-0.009519868315758748,-0.001006589652984856
2015-02-13,0.05978710744575146,,0.004066459227779422,0.008259224758424086,-0.043296844265169485,0.005231782127142109,0.001168417088408813,0.01746985678990429
2015-02-14,0.08892349379425551,,,,,,,
2015-02-15,-0.09148384584019956,,,,,,,
2015-02-16,-0.00419058296067406,,,,,,,
2015-02-17,0.04091862847771824,,,,,,,
2015-02-18,-0.03035636359272711,,-0.00031435862322874816,0.0012694062379710023,-0.02240096110629207,-0.006977372496271956,0.0014872986246747884,-0.037525180176132766
2015-02-19,0.01660519034172677,,-0.0010626217157189283,0.004759807773552577,-0.010409973552381732,0.0061492836610937025,0.0021209401296892623,0.02249433560451551
2015-02-20,0.014444690551578291,,0.006107842721055837,0.007044695330879304,-0.06693946684211022,-0.002239230603391369,-0.0015902629873061637,0.009420692285610446
2015-02-21,0.003092238871982713,,,,,,,
2015-02-22,-0.035619980715916974,,,,,,,
2015-02-23,0.012277195944320576,,,,,,,
2015-02-24,-0.0006574070841032816,,0.002754972468831103,0.00034594625779753356,-0.06161246293934012,-0.0028366649341615255,-0.0008463116139093573,-0.0350913094725752
2015-02-25,-0.005312847871439998,,-0.0007660169636026022,-0.0023482664889920017,0.010897352565632288,0.00341964180291274,-0.0029676628438944468,-0.00960333552941079
2015-02-26,-0.004406063968623295,,-0.00147711863025381,0.004870394226122437,0.0050450337510371925,0.007135163161701397,0.011398559625263595,0.02358957583847216
