,BTC,ETH,SP500,NASDAQ,VIX,GOLD,DXY,US10Y
Ticker,BTC-USD,ETH-USD,^GSPC,^NDX,^VIX,GC=F,DX-Y.NYB,^TNX
Date,,,,,,,,
2015-01-01,314.2489929199219,,,,,,,
2015-01-02,315.0320129394531,,2058.199951171875,4230.240234375,17.790000915527344,1186.0,91.08000183105469,2.122999906539917
2015-01-03,281.0820007324219,,,,,,,
2015-01-04,264.19500732421875,,,,,,,
2015-01-05,274.4739990234375,,2020.5799560546875,4160.9599609375,19.920000076293945,1203.9000244140625,91.37999725341797,2.0390000343322754
2015-01-06,286.1889953613281,,2002.6099853515625,4110.830078125,21.1200008392334,1219.300048828125,91.5,1.9630000591278076
2015-01-07,294.3370056152344,,2025.9000244140625,4160.0,19.309999465942383,1210.5999755859375,91.88999938964844,1.9539999961853027
2015-01-08,283.3489990234375,,2062.139892578125,4240.5498046875,17.010000228881836,1208.4000244140625,92.37000274658203,2.0160000324249268
2015-01-09,290.4079895019531,,2044.81005859375,4213.27978515625,17.549999237060547,1216.0,91.94000244140625,1.9709999561309814
2015-01-10,274.7959899902344,,,,,,,
2015-01-11,265.6600036621094,,,,,,,
2015-01-12,267.7959899902344,,2028.260009765625,4169.97021484375,19.600000381469727,1232.699951171875,91.9800033569336,1.9119999408721924
2015-01-13,225.86099243164062,,2023.030029296875,4166.2001953125,20.559999465942383,1234.300048828125,92.30999755859375,1.8899999856948853
2015-01-14,178.10299682617188,,2011.27001953125,4145.83984375,21.479999542236328,1234.4000244140625,92.16000366210938,1.8370000123977661
2015-01-15,209.843994140625,,1992.6700439453125,4089.64990234375,22.389999389648438,1264.699951171875,92.3499984741211,1.774999976158142
2015-01-16,208.0970001220703,,2019.4200439453125,4142.14013671875,20.950000762939453,1276.9000244140625,92.5199966430664,1.815000057220459
2015-01-17,199.25999450683594,,,,,,,
2015-01-18,210.33900451660156,,,,,,,
2015-01-19,214.86099243164062,,,,,,,
2015-01-20,211.31500244140625,,2022.550048828125,4171.2099609375,19.889999389648438,1294.199951171875,93.05000305175781,1.8070000410079956
2015-01-21,226.89700317382812,,2032.1199951171875,4192.08984375,18.850000381469727,1293.699951171875,92.9000015258789,1.8530000448226929
2015-01-22,233.406005859375,,2063.14990234375,4270.35986328125,16.399999618530273,1300.699951171875,94.23999786376953,1.8960000276565552
2015-01-23,232.87899780273438,,2051.820068359375,4278.14013671875,16.65999984741211,1292.5999755859375,95.0,1.8170000314712524
2015-01-24,247.8470001220703,,,,,,,
2015-01-25,253.71800231933594,,,,,,,
2015-01-26,273.4729919433594,,2057.090087890625,4275.72021484375,15.520000457763672,1279.4000244140625,94.80000305175781,1.8279999494552612
2015-01-27,263.4750061035156,,2029.550048828125,4165.5,17.219999313354492,1291.699951171875,94.0199966430664,1.8250000476837158
2015-01-28,233.9149932861328,,2002.1600341796875,4140.3798828125,20.440000534057617,1285.9000244140625,94.47000122070312,1.7239999771118164
2015-01-29,233.51300048828125,,2021.25,4181.35009765625,18.760000228881836,1254.5999755859375,94.77999877929688,1.7510000467300415
2015-01-30,226.4250030517578,,1994.989990234375,4148.43017578125,20.969999313354492,1278.5,94.80000305175781,1.6749999523162842
2015-01-31,217.46400451660156,,,,,,,
2015-02-01,226.9720001220703,,,,,,,
2015-02-02,238.22900390625,,2020.8499755859375,4188.58984375,19.43000030517578,1276.199951171875,94.5,1.6729999780654907
2015-02-03,227.26800537109375,,2050.030029296875,4229.14990234375,17.329999923706055,1259.699951171875,93.5999984741211,1.7799999713897705
2015-02-04,226.85299682617188,,2041.510009765625,4221.2001953125,18.329999923706055,1263.800048828125,93.98999786376953,1.7970000505447388
2015-02-05,217.11099243164062,,2062.52001953125,4256.18017578125,16.850000381469727,1262.0,94.69999694824219,1.815000057220459
2015-02-06,222.26600646972656,,2055.469970703125,4228.68017578125,17.290000915527344,1233.9000244140625,94.69999694824219,1.937999963760376
2015-02-07,227.75399780273438,,,,,,,
2015-02-08,223.41200256347656,,,,,,,
2015-02-09,220.11000061035156,,2046.739990234375,4216.08984375,18.549999237060547,1240.800048828125,94.44999694824219,1.9479999542236328
2015-02-10,219.83900451660156,,2068.590087890625,4281.16015625,17.229999542236328,1231.5999755859375,94.76000213623047,1.9910000562667847
2015-02-11,219.18499755859375,,2068.530029296875,4297.27978515625,16.959999084472656,1219.0,94.98999786376953,1.9880000352859497
2015-02-12,221.76400756835938,,2088.47998046875,4347.97021484375,15.34000015258789,1220.0999755859375,94.08999633789062,1.9859999418258667
2015-02-13,235.427001953125,,2096.989990234375,4384.02978515625,14.6899995803833,1226.5,94.19999694824219,2.0209999084472656
2015-02-14,257.3210144042969,,,,,,,
2015-02-15,234.8249969482422,,,,,,,
2015-02-16,233.84300231933594,,,,,,,
2015-02-17,243.61000061035156,,2100.340087890625,4385.33984375,15.800000190734863,1208.0999755859375,94.05999755859375,2.1449999809265137
2015-02-18,236.3260040283203,,2099.679931640625,4390.91015625,15.449999809265137,1199.699951171875,94.19999694824219,2.065999984741211
2015-02-19,240.2830047607422,,2097.449951171875,4411.85986328125,15.289999961853027,1207.0999755859375,94.4000015258789,2.11299991607666
2015-02-20,243.7790069580078,,2110.300048828125,4443.0498046875,14.300000190734863,1204.4000244140625,94.25,2.132999897003174
2015-02-21,244.53399658203125,,,,,,,
2015-02-22,235.9770050048828,,,,,,,
2015-02-23,238.89199829101562,,2109.659912109375,4449.490234375,14.5600004196167,1200.300048828125,94.56999969482422,2.059000015258789
